日期,榜单,排名,排名变化,股票代码,股票名称,行业,当前价格,涨跌幅(%),涨跌额,成交额(亿),总市值(亿),换手率(%),雪球关注人数
2026-06-24,全球,1,0,SH603986,兆易创新,,705.09,10.0,64.1,399.45,4947.97,8.95,
2026-06-24,全球,2,0,SH688797,N臻宝,,585.0,1212.84,540.44,98.21,908.45,76.63,
2026-06-24,全球,3,0,00700,腾讯控股,,430.2,3.71,15.4,145.23,39183.17,0.38,
2026-06-24,全球,4,0,SZ000858,五粮液,,73.3,-1.95,-1.46,22.19,2845.22,0.77,
2026-06-24,全球,5,0,SH600519,贵州茅台,,1207.68,-1.21,-14.77,55.17,15096.99,0.36,
2026-06-24,全球,6,0,SZ000725,京东方A,,7.07,4.43,0.3,249.97,2619.03,10.14,
2026-06-24,全球,7,0,SH600584,长电科技,,94.7,10.0,8.61,237.89,1694.58,14.38,
2026-06-24,全球,8,0,SZ002475,立讯精密,,75.05,8.2,5.69,296.59,5492.35,5.57,
2026-06-24,全球,9,0,SH603259,药明康德,,115.4,8.55,9.09,125.66,3443.26,4.44,
2026-06-24,沪深,1,0,SH603986,兆易创新,,705.09,10.0,64.1,399.45,4947.97,8.95,
2026-06-24,沪深,2,0,SH688797,N臻宝,,585.0,1212.84,540.44,98.21,908.45,76.63,
2026-06-24,沪深,3,0,SZ000858,五粮液,,73.3,-1.95,-1.46,22.19,2845.22,0.77,
2026-06-24,沪深,4,0,SH600519,贵州茅台,,1207.68,-1.21,-14.77,55.17,15096.99,0.36,
2026-06-24,沪深,5,0,SZ000725,京东方A,,7.07,4.43,0.3,249.97,2619.03,10.14,
2026-06-24,沪深,6,0,SH600584,长电科技,,94.7,10.0,8.61,237.89,1694.58,14.38,
2026-06-24,沪深,7,0,SZ002475,立讯精密,,75.05,8.2,5.69,296.59,5492.35,5.57,
2026-06-24,沪深,8,0,SH603259,药明康德,,115.4,8.55,9.09,125.66,3443.26,4.44,
2026-06-24,沪深,9,0,SZ002415,海康威视,,34.03,8.34,2.62,55.43,3118.81,1.85,
2026-06-24,港股,1,10,MU,美光科技,,1051.77,-13.1759,-159.61,648.25,11861.17,5.34,
2026-06-24,港股,2,13,SPCX,SpaceX,,156.11,0.9767,1.51,244.4,20542.82,1.18,
2026-06-24,港股,3,4,NVDA,英伟达,,200.04,-4.1265,-8.61,309.0,48409.68,0.63,
2026-06-24,港股,4,40,SNDK,闪迪,,1963.6,-13.6397,-310.13,257.04,2907.89,8.69,
2026-06-24,港股,5,23,BABA,阿里巴巴,,102.6,-2.2578,-2.37,11.63,2461.51,0.47,
2026-06-24,港股,6,11,PDD,拼多多,,76.56,-1.9844,-1.55,6.95,1089.75,0.64,
2026-06-24,港股,7,21,TSLA,特斯拉,,381.61,-5.7869,-23.44,193.91,14332.22,1.34,
2026-06-24,港股,8,25,TSM,台积电,,436.39,-6.6885,-31.28,89.81,22633.25,0.39,
2026-06-24,港股,9,32,INTC,英特尔,,132.28,-6.1445,-8.66,177.92,6648.39,2.65,
2026-06-24,美股,1,0,00700,腾讯控股,,430.2,3.71,15.4,145.27,39183.17,0.38,
2026-06-24,美股,2,0,01810,小米集团-W,,22.86,1.06,0.24,43.71,5912.63,0.9,
2026-06-24,美股,3,2,02513,智谱,,2196.0,1.2,26.0,74.63,9817.46,1.47,
2026-06-24,美股,4,0,00981,中芯国际,,85.25,9.51,7.4,175.77,6827.5,3.5,
2026-06-24,美股,5,1,09992,泡泡玛特,,158.1,0.89,1.4,13.89,2105.45,0.66,
2026-06-24,美股,6,4,09988,阿里巴巴-W,,99.75,0.81,0.8,89.33,19148.46,0.47,
2026-06-24,美股,7,4,03690,美团-W,,67.65,-2.8,-1.95,27.42,4180.22,0.72,
2026-06-24,美股,8,2,07709,XL二南方海力士,,148.2,3.06,4.4,220.18,1047.77,21.55,
2026-06-24,美股,9,9,03986,兆易创新,,999.5,6.73,63.0,29.68,7010.48,8.99,
