日期,榜单,排名,排名变化,股票代码,股票名称,行业,当前价格,涨跌幅(%),涨跌额,成交额(亿),总市值(亿),换手率(%)
2026-07-17,全球,1,0,SZ300308,中际旭创,光模块,979.46,-12.0,-133.54,564.86,10923.28,5.06
2026-07-17,全球,2,0,SH603986,兆易创新,半导体,463.15,-10.0,-51.46,321.22,3250.13,10.05
2026-07-17,全球,3,0,SH688825,长鑫科技,半导体,,,,,,
2026-07-17,全球,4,0,SZ001309,德明利,光学元件,536.54,-10.0,-59.62,11.31,1217.12,1.28
2026-07-17,全球,5,0,02513,智谱,人工智能,1107.0,-28.49,-441.0,179.3,5154.45,6.05
2026-07-17,全球,6,0,SH601857,中国石油,石油,10.29,3.0,0.3,26.93,18832.86,0.16
2026-07-17,全球,7,0,SH600584,长电科技,半导体,85.49,2.74,2.28,207.82,1529.77,14.11
2026-07-17,全球,8,0,SZ002384,东山精密,消费电子,241.92,-10.0,-26.88,267.74,4431.02,7.87
2026-07-17,全球,9,1,MU,美光科技,半导体,853.2,-5.6487,-51.08,400.16,9635.98,4.14
2026-07-17,沪深,1,0,SZ300308,中际旭创,光模块,979.46,-12.0,-133.54,564.86,10923.28,5.06
2026-07-17,沪深,2,0,SH603986,兆易创新,半导体,463.15,-10.0,-51.46,321.22,3250.13,10.05
2026-07-17,沪深,3,0,SH688825,长鑫科技,半导体,,,,,,
2026-07-17,沪深,4,0,SZ001309,德明利,光学元件,536.54,-10.0,-59.62,11.31,1217.12,1.28
2026-07-17,沪深,5,0,SH601857,中国石油,石油,10.29,3.0,0.3,26.93,18832.86,0.16
2026-07-17,沪深,6,0,SH600584,长电科技,半导体,85.49,2.74,2.28,207.82,1529.77,14.11
2026-07-17,沪深,7,0,SZ002384,东山精密,消费电子,241.92,-10.0,-26.88,267.74,4431.02,7.87
2026-07-17,沪深,8,0,SH688008,澜起科技,半导体,183.6,-13.04,-27.53,188.8,2240.91,8.53
2026-07-17,沪深,9,1,SZ000725,京东方A,面板显示,6.07,0.33,0.02,179.5,2248.59,8.36
2026-07-17,港股,1,1,MU,美光科技,半导体,853.2,-5.6487,-51.08,400.16,9635.98,4.14
2026-07-17,港股,2,-3,SKHY,SK海力士,半导体,152.31,-13.6858,-24.15,89.91,11101.35,0.77
2026-07-17,港股,3,0,SNDK,闪迪,半导体,1411.08,-12.6266,-203.92,253.72,2089.66,11.78
2026-07-17,港股,4,3,NVDA,英伟达,半导体,207.4,-2.4,-5.1,255.05,50190.8,0.51
2026-07-17,港股,5,-4,SPCX,SpaceX,航空航天,131.11,-3.0753,-4.16,78.29,17253.03,0.45
2026-07-17,港股,6,1,AAPL,苹果,消费电子,333.26,1.7588,5.76,208.8,48947.08,0.43
2026-07-17,港股,7,0,TSM,台积电,半导体,409.74,-2.3219,-9.74,101.66,21251.06,0.48
2026-07-17,港股,8,-10,GLW,康宁,玻璃材料,158.39,-9.1853,-16.02,28.17,1363.16,2.06
2026-07-17,港股,9,-8,LITE,Lumentum控股,光通信,706.23,-6.0864,-45.77,28.23,549.45,5.12
2026-07-17,美股,1,0,02513,智谱,人工智能,1107.0,-28.49,-441.0,179.3,5154.45,6.05
2026-07-17,美股,2,-1,00700,腾讯控股,互联网,461.6,-4.63,-22.4,169.29,41971.06,0.4
2026-07-17,美股,3,0,06887,东阳光药,医药,28.0,-23.71,-8.7,2.5,161.27,3.34
2026-07-17,美股,4,0,07709,XL二南方海力士,半导体,44.8,-20.68,-11.68,79.24,415.52,19.12
2026-07-17,美股,5,-1,09992,泡泡玛特,潮玩,163.6,-2.68,-4.5,19.8,2178.7,0.91
2026-07-17,美股,6,-2,09926,康方生物,生物医药,88.35,-13.21,-13.45,21.48,813.83,2.56
2026-07-17,美股,7,-6,01810,小米集团-W,消费电子,26.88,-2.25,-0.62,75.92,6931.33,1.31
2026-07-17,美股,8,-3,03986,兆易创新,半导体,533.5,-11.08,-66.5,30.11,3743.81,16.51
2026-07-17,美股,9,-6,00981,中芯国际,半导体,67.7,-9.97,-7.5,172.52,5795.67,4.11
